episode_id,complete_name,first_name,last_name
0,Michael Scott,Michael,Scott
0,Dwight Schrute,Dwight,Schrute
0,Jim Halpert,Jim,Halpert
0,Pam Beesly,Pam,Beesly
0,Ryan Howard,Ryan,Howard
0,Jan Levinson,Jan,Levinson
0,Stanley Hudson,Stanley,Hudson
0,Kevin Malone,Kevin,Malone
0,Angela Martin,Angela,Martin
0,Oscar Martinez,Oscar,Martinez
0,Phyllis Lapin,Phyllis,Lapin
0,Creed Bratton,Creed,Bratton
0,Todd Packer,Todd,Packer
1,Michael Scott,Michael,Scott
1,Dwight Schrute,Dwight,Schrute
1,Jim Halpert,Jim,Halpert
1,Pam Beesly,Pam,Beesly
1,Ryan Howard,Ryan,Howard
1,Stanley Hudson,Stanley,Hudson
1,Kevin Malone,Kevin,Malone
1,Kelly Kapoor,Kelly,Kapoor
1,Toby Flenderson,Toby,Flenderson
1,Angela Martin,Angela,Martin
1,Oscar Martinez,Oscar,Martinez
1,Phyllis Lapin,Phyllis,Lapin
1,Creed Bratton,Creed,Bratton
2,Michael Scott,Michael,Scott
2,Dwight Schrute,Dwight,Schrute
2,Jim Halpert,Jim,Halpert
2,Pam Beesly,Pam,Beesly
2,Ryan Howard,Ryan,Howard
2,Jan Levinson,Jan,Levinson
2,Stanley Hudson,Stanley,Hudson
2,Kevin Malone,Kevin,Malone
2,Kelly Kapoor,Kelly,Kapoor
2,Angela Martin,Angela,Martin
2,Toby Flenderson,Toby,Flenderson
2,Oscar Martinez,Oscar,Martinez
2,Phyllis Lapin,Phyllis,Lapin
2,Creed Bratton,Creed,Bratton
3,Michael Scott,Michael,Scott
3,Dwight Schrute,Dwight,Schrute
3,Jim Halpert,Jim,Halpert
3,Pam Beesly,Pam,Beesly
3,Ryan Howard,Ryan,Howard
3,Darryl Philbin,Darryl,Philbin
3,Stanley Hudson,Stanley,Hudson
3,Kevin Malone,Kevin,Malone
3,Toby Flenderson,Toby,Flenderson
3,Angela Martin,Angela,Martin
3,Oscar Martinez,Oscar,Martinez
3,Phyllis Lapin,Phyllis,Lapin
3,Creed Bratton,Creed,Bratton
4,Michael Scott,Michael,Scott
4,Dwight Schrute,Dwight,Schrute
4,Jim Halpert,Jim,Halpert
4,Pam Beesly,Pam,Beesly
4,Ryan Howard,Ryan,Howard
4,Darryl Philbin,Darryl,Philbin
4,Stanley Hudson,Stanley,Hudson
4,Kevin Malone,Kevin,Malone
4,Angela Martin,Angela,Martin
4,Oscar Martinez,Oscar,Martinez
4,Phyllis Lapin,Phyllis,Lapin
5,Michael Scott,Michael,Scott
5,Dwight Schrute,Dwight,Schrute
5,Jim Halpert,Jim,Halpert
5,Pam Beesly,Pam,Beesly
5,Ryan Howard,Ryan,Howard
5,Jan Levinson,Jan,Levinson
5,Stanley Hudson,Stanley,Hudson
5,Kevin Malone,Kevin,Malone
5,Toby Flenderson,Toby,Flenderson
5,Angela Martin,Angela,Martin
5,Oscar Martinez,Oscar,Martinez
5,Phyllis Lapin,Phyllis,Lapin
5,Kelly Kapoor,Kelly,Kapoor
6,Michael Scott,Michael,Scott
6,Dwight Schrute,Dwight,Schrute
6,Jim Halpert,Jim,Halpert
6,Pam Beesly,Pam,Beesly
6,Ryan Howard,Ryan,Howard
6,Jan Levinson,Jan,Levinson
6,Stanley Hudson,Stanley,Hudson
6,Kevin Malone,Kevin,Malone
6,Kelly Kapoor,Kelly,Kapoor
6,Angela Martin,Angela,Martin
6,Toby Flenderson,Toby,Flenderson
6,Oscar Martinez,Oscar,Martinez
6,Darryl Philbin,Darryl,Philbin
6,Phyllis Lapin,Phyllis,Lapin
7,Michael Scott,Michael,Scott
7,Dwight Schrute,Dwight,Schrute
7,Jim Halpert,Jim,Halpert
7,Pam Beesly,Pam,Beesly
7,Ryan Howard,Ryan,Howard
7,Todd Packer,Todd,Packer
7,Jan Levinson,Jan,Levinson
7,Stanley Hudson,Stanley,Hudson
7,Kevin Malone,Kevin,Malone
7,Kelly Kapoor,Kelly,Kapoor
7,Angela Martin,Angela,Martin
7,Toby Flenderson,Toby,Flenderson
7,Oscar Martinez,Oscar,Martinez
7,Phyllis Lapin,Phyllis,Lapin
7,Darryl Philbin,Darryl,Philbin
8,Michael Scott,Michael,Scott
8,Dwight Schrute,Dwight,Schrute
8,Jim Halpert,Jim,Halpert
8,Pam Beesly,Pam,Beesly
8,Ryan Howard,Ryan,Howard
8,Stanley Hudson,Stanley,Hudson
8,Kevin Malone,Kevin,Malone
8,Kelly Kapoor,Kelly,Kapoor
8,Angela Martin,Angela,Martin
8,Toby Flenderson,Toby,Flenderson
8,Oscar Martinez,Oscar,Martinez
8,Phyllis Lapin,Phyllis,Lapin
9,Michael Scott,Michael,Scott
9,Dwight Schrute,Dwight,Schrute
9,Jim Halpert,Jim,Halpert
9,Pam Beesly,Pam,Beesly
9,Ryan Howard,Ryan,Howard
9,Stanley Hudson,Stanley,Hudson
9,Kevin Malone,Kevin,Malone
9,Kelly Kapoor,Kelly,Kapoor
9,Angela Martin,Angela,Martin
9,Toby Flenderson,Toby,Flenderson
9,Oscar Martinez,Oscar,Martinez
9,Phyllis Lapin,Phyllis,Lapin
10,Michael Scott,Michael,Scott
10,Dwight Schrute,Dwight,Schrute
10,Jim Halpert,Jim,Halpert
10,Pam Beesly,Pam,Beesly
10,Ryan Howard,Ryan,Howard
10,Stanley Hudson,Stanley,Hudson
10,Kevin Malone,Kevin,Malone
10,Kelly Kapoor,Kelly,Kapoor
10,Angela Martin,Angela,Martin
10,Toby Flenderson,Toby,Flenderson
10,Oscar Martinez,Oscar,Martinez
10,Phyllis Lapin,Phyllis,Lapin
10,Creed Bratton,Creed,Bratton
11,Michael Scott,Michael,Scott
